* FLOOR codes
0x00	Normal
0x01	Death
0x02	Slip
0x03	NoSlip
0x04	DamageNormal
0x05	Ice
0x06	JumpLow
0x07	JumpMiddle
0x08	JumpHigh
0x09	Slider
0x0A	DamageFire
0x0B	JumpNormal
0x0C	FireDance
0x0D	Sand
0x0E	Glass
0x0F	DamageElectric
0x10	PullBack
0x11	Sink
0x12	SinkPoison
0x13	Slider
0x14	WaterBottomH
0x15	WaterBottomM
0x16	WaterBottomL
0x17	Wet
0x18	Needle
0x19	SinkDeath
0x1A	Snow
0x1B	RailMove
0x1C	AreaMove
0x1D	Press
0x1E	NoStampSand
0x1F	SinkDeathMud
0x20	Brake
0x21	GlassIce
0x22	JumpParasol
0x23	Oil
0x24	NoDig
0x25	Lawn
0x26	Cloud
0x27	PressAndNoSlip
0x28	ForceDash
0x29	DarkMatter
0x2A	Dust
0x2B	SnowAndNoSlip
