0x00	::Player_Start
0x01	Player
0x02	Puppeteer
0x03	<deleted>
0x04	<deleted>
0x05	Yoshi
0x06	::Player_End
0x07	::Npc_Start
0x08	Npc
0x09	::Npc_End
0x0A	Animal
0x0B	::Ride_Start
0x0C	Ride
0x0D	SpherePlayer
0x0E	SpherePlayerHit
0x0F	SpringAttacker
0x10	SpringAttackerKinopio
0x11	SpringAttackerKinopioBind
0x12	JetTurtle
0x13	JetTurtleSlow
0x14	SpecialWeapon
0x15	Ghost
0x16	::Ride_End
0x17	::Enemy_Start
0x18	Enemy
0x19	EnemySimple
0x1A	EnemyAttack
0x1B	CocoNut
0x1C	WaterPressureBullet
0x1D	BombHei
0x1E	Takobo
0x1F	Kuribo
0x20	Karikari
0x21	Begoman
0x22	KillerTargetEnemy
0x23	PlayerAutoJump
0x24	MogucchiRefuseTerritory
0x25	BigBubble
0x26	Nokonoko
0x27	Pukupuku
0x28	Unizo
0x29	SamboHead
0x2A	SamboBody
0x2B	HomingFire
0x2C	HomingFireShooter
0x2D	HomingKiller
0x2E	MagnumKiller
0x2F	Rock
0x30	Wanwan
0x31	<deleted>
0x32	<deleted>
0x33	KoopaJrRobot
0x34	LeafBoard
0x35	KoopaJrCastle
0x36	KoopaJrCastleTire
0x37	BellyDragonHead
0x38	BellyDragonBody
0x39	BellyDragonWeakPoint
0x3A	<deleted>
0x3B	<deleted>
0x3C	HipDropStar
0x3D	SupportTico
0x3E	::Enemy_End
0x3F	::MapObj_Start
0x40	MapObj
0x41	MapObjSimple
0x42	MapObjMoveCollision
0x43	ClipFieldMapParts
0x44	Coin
0x45	CoinRed
0x46	StarPiece
0x47	KinokoOneUp
0x48	GolfCup
0x49	Switch
0x4A	MorphItem
0x4B	GolfCup
0x4C	BreakableCage
0x4D	BeeFlower
0x4E	KillerTargetMapObj
0x4F	PunchBox
0x50	WaterBazookaCapsule
0x51	IceJumpWall
0x52	SnowStep
0x53	SandBird
0x54	KeySwitchAvoid
0x55	BossBussunShotCollision
0x56	SpinCloudBlock
0x57	<deleted>
0x58	<deleted>
0x59	::MapObj_End
0x5A	::AutoRushObj_Start
0x5B	Binder
0x5C	TransferableBinder
0x5D	PriorBinder
0x5E	SpinDriverBind
0x5F	SpinCannonBind
0x60	SpherePlayerBind
0x61	PowerStarBind
0x62	GCaptureBind
0x63	SpringAttackerBind
0x64	WaterPressureBulletBinder
0x65	MarioLauncherBind
0x66	QuestionCoinBind
0x67	SecnarioStarterBind
0x68	<deleted>
0x69	::AutoRushObj_End
0x6A	::RushObj_Start
0x6B	RushEnemy
0x6C	CocoNutBind
0x6D	TurnipBind
0x6E	SwitchBind
0x6F	::RushObj_End
0x70	::PressObj_Start
0x71	MapObjPress
0x72	::PressObj_Start
0x73	::SphereMoverObj_Start
0x74	JumpHole
0x75	SphereDash
0x76	BallRail
0x77	::SphereMoverObj_End
0x78	::Special_Start
0x79	SystemSensor
0x7A	Eye
0x7B	Push
0x7C	Demo
0x7D	SwitchMessenger
0x7E	MessageSensorHolder
0x7F	Receiver
0x80	::Special_End
